half_year,tmax,tmin,af,rainfall,sun
first,4,-2,25,40.9,54.1
first,6.6,2.1,10,41.8,17.8
first,10.6,4.2,0,50.9,85.7
first,13,5.2,0,76.3,125.1
first,18.1,7.9,0,24,222
first,18.1,10.3,0,81.6,187.3
latter,19.6,12.3,0,113.7,157.3
latter,20.3,12.6,0,14.7,165.2
latter,18.3,9.7,0,26.5,137.5
latter,15.2,8.7,0,140.7,105.5
latter,9.3,4.9,2,129.7,37.4
latter,7.4,2.9,3,199.8,13.5
first,6.1,0.8,11,101.1,43.5
first,5.8,0,16,107.2,84.4
first,8.9,3.5,1,57,77.8
first,14,6,0,107.7,154.1
first,17.8,8.2,0,66.6,189.5
first,21,11.3,0,63.9,244.2
latter,18.8,11.5,0,90.5,148.8
latter,19.4,11,0,86.5,180.2
latter,16.7,8.7,0,79,152.1
latter,12.6,7.7,0,78.7,54.9
latter,8.9,3.5,3,145.6,62.6
latter,5.6,0.8,12,142.7,29.1
first,5.9,0.3,12,100.1,35.5
first,9,4.4,1,127.6,52.6
first,11.6,5.7,0,60.8,95.4
first,12.4,5.8,2,95.7,96.5
first,15.9,7.3,0,52.3,185.3
first,17.3,9.7,0,37,153.5
latter,18.1,10.4,0,69.3,150.3
latter,18.4,11.2,0,146.2,160.4
latter,17.4,10.7,0,155.2,108.4
latter,13.5,7.5,0,149.9,103.3
latter,8.1,2.9,7,113.8,48.6
latter,4.2,-0.5,17,121.5,19.1
first,6.7,1.6,6,220.1,37.4
first,7.2,2.4,2,103.6,64.2
first,7.5,0,14,38.4,104.7
first,12.8,3.2,4,72.4,197.1
first,15.8,7,2,62.4,198.8
first,18.3,8.5,0,53.2,192.8
latter,17.9,9.9,0,76.7,137.8
latter,17.2,10.1,0,136.5,142
latter,14.8,9.1,0,181.8,74.1
latter,13.3,8.2,0,60.5,83.3
latter,7.8,3.2,7,68.3,27
latter,5.9,0.5,12,114,34.4
first,2.5,-2.7,22,18.1,46.9
first,3.9,-2.9,22,13.2,70.5
first,9.8,2.8,6,153,85.7
first,11.6,4.8,1,61.5,110.6
first,14,6.4,0,95.7,193.5
first,18.5,10.8,0,62,172.9
latter,18,10.7,0,80.2,151.2
latter,17.1,10.7,0,86.5,88.1
latter,15.8,9.2,0,90,128.4
latter,13.2,7.5,0,127.1,76.8
latter,8.5,3.7,6,191.6,34.9
latter,5.8,1.3,12,50.9,25.8
first,6.8,2.5,7,61.9,21.8
first,7.2,2.3,5,30.4,59.7
first,7.4,2.2,3,55.4,57.7
first,12.1,5.4,0,77.3,101.3
first,16,8.7,0,85.8,167.7
first,17.5,9.6,0,68,163.5
latter,17.9,11.5,0,58,126.7
latter,17.6,10.9,0,146.3,121.9
latter,16.4,9.4,0,131.5,132.9
latter,11.8,5.7,0,67.4,74
latter,8.8,3.8,3,95.6,31.3
latter,6,1.2,7,154.3,34.8
first,5.1,0.6,13,127.2,54.2
first,6.7,0.4,11,24,61.7
first,8,1.2,9,68.5,99.5
first,12,4.3,1,74.8,145.9
first,14.8,7.6,0,86.3,134.5
first,17.9,10.4,0,102.6,160.2
