"mm" "tmax" "tmin" "af" "rain" "sun" "before_79"
"1" 1 4 -2 25 40.9 54.1 "Yes"
"2" 2 6.6 2.1 10 41.8 17.8 "Yes"
"3" 3 10.6 4.2 0 50.9 85.7 "Yes"
"4" 4 13 5.2 0 76.3 125.1 "Yes"
"5" 5 18.1 7.9 0 24 222 "Yes"
"6" 6 18.1 10.3 0 81.6 187.3 "Yes"
"7" 7 19.6 12.3 0 113.7 157.3 "Yes"
"8" 8 20.3 12.6 0 14.7 165.2 "Yes"
"9" 9 18.3 9.7 0 26.5 137.5 "Yes"
"10" 10 15.2 8.7 0 140.7 105.5 "Yes"
"11" 11 9.3 4.9 2 129.7 37.4 "Yes"
"12" 12 7.4 2.9 3 199.8 13.5 "Yes"
"13" 1 6.1 0.8 11 101.1 43.5 "Yes"
"14" 2 5.8 0 16 107.2 84.4 "Yes"
"15" 3 8.9 3.5 1 57 77.8 "Yes"
"16" 4 14 6 0 107.7 154.1 "Yes"
"17" 5 17.8 8.2 0 66.6 189.5 "Yes"
"18" 6 21 11.3 0 63.9 244.2 "Yes"
"19" 7 18.8 11.5 0 90.5 148.8 "Yes"
"20" 8 19.4 11 0 86.5 180.2 "Yes"
"21" 9 16.7 8.7 0 79 152.1 "Yes"
"22" 10 12.6 7.7 0 78.7 54.9 "Yes"
"23" 11 8.9 3.5 3 145.6 62.6 "Yes"
"24" 12 5.6 0.8 12 142.7 29.1 "Yes"
"25" 1 5.9 0.3 12 100.1 35.5 "Yes"
"26" 2 9 4.4 1 127.6 52.6 "Yes"
"27" 3 11.6 5.7 0 60.8 95.4 "Yes"
"28" 4 12.4 5.8 2 95.7 96.5 "Yes"
"29" 5 15.9 7.3 0 52.3 185.3 "Yes"
"30" 6 17.3 9.7 0 37 153.5 "Yes"
"31" 7 18.1 10.4 0 69.3 150.3 "Yes"
"32" 8 18.4 11.2 0 146.2 160.4 "Yes"
"33" 9 17.4 10.7 0 155.2 108.4 "Yes"
"34" 10 13.5 7.5 0 149.9 103.3 "Yes"
